=========================Vanilla++ Admin Tools Session Logs=========================
Logs Started: 2026-5-25_21-2-50
====================================================================================
21:2:50 | [PermissionManager] Perm (DeleteObjectAtCrosshair) has been registered!
21:2:50 | [PermissionManager] Perm (TeleportToCrosshair) has been registered!
21:2:50 | [PermissionManager] Perm (FreeCamera) has been registered!
21:2:50 | [PermissionManager] Perm (RepairVehiclesAtCrosshair) has been registered!
21:2:50 | [PermissionManager] Perm (MenuItemManager) has been registered!
21:2:50 | [PermissionManager] Perm (MenuItemManager:SpawnItem) has been registered!
21:2:50 | [PermissionManager] Perm (MenuItemManager:EditPreset) has been registered!
21:2:50 | [PermissionManager] Perm (MenuItemManager:SpawnPreset) has been registered!
21:2:50 | [PermissionManager] Perm (MenuItemManager:DeletePreset) has been registered!
21:2:50 | [PermissionManager] Perm (MenuItemManager:AddPreset) has been registered!
21:2:50 | [PermissionManager] Perm (MenuServerManager) has been registered!
21:2:50 | [PermissionManager] Perm (ServerManager:RestartServer) has been registered!
21:2:50 | [PermissionManager] Perm (ServerManager:LockServer) has been registered!
21:2:50 | [PermissionManager] Perm (ServerManager:KickAllPlayers) has been registered!
21:2:50 | [PermissionManager] Perm (ServerManager:LoadScripts) has been registered!
21:2:50 | [PermissionManager] Perm (MenuWeatherManager) has been registered!
21:2:50 | [PermissionManager] Perm (WeatherManager:ApplyWeather) has been registered!
21:2:50 | [PermissionManager] Perm (WeatherManager:ApplyTime) has been registered!
21:2:50 | [PermissionManager] Perm (WeatherManager:SavePreset) has been registered!
21:2:50 | [PermissionManager] Perm (WeatherManager:DeletePreset) has been registered!
21:2:50 | [PermissionManager] Perm (WeatherManager:ApplyPreset) has been registered!
21:2:50 | [PermissionManager] Perm (WeatherManager:ApplyTimePreset) has been registered!
21:2:50 | [PermissionManager] Perm (WeatherManager:SaveTimePreset) has been registered!
21:2:50 | [PermissionManager] Perm (WeatherManager:DeleteTimePreset) has been registered!
21:2:50 | [PermissionManager] Perm (MenuObjectManager) has been registered!
21:2:50 | [PermissionManager] Perm (MenuObjectManager:CreateNewSet) has been registered!
21:2:50 | [PermissionManager] Perm (MenuObjectManager:UpdateSet) has been registered!
21:2:50 | [PermissionManager] Perm (MenuObjectManager:DeleteSet) has been registered!
21:2:50 | [PermissionManager] Perm (MenuObjectManager:EditSet) has been registered!
21:2:50 | [PermissionManager] Perm (MenuPermissionsEditor) has been registered!
21:2:50 | [PermissionManager] Perm (PermissionsEditor:RemoveUser) has been registered!
21:2:50 | [PermissionManager] Perm (PermissionsEditor:AddUser) has been registered!
21:2:50 | [PermissionManager] Perm (PermissionsEditor:CreateUserGroup) has been registered!
21:2:50 | [PermissionManager] Perm (PermissionsEditor:DeleteUserGroup) has been registered!
21:2:50 | [PermissionManager] Perm (PermissionsEditor:ChangePermLevel) has been registered!
21:2:50 | [PermissionManager] Perm (MenuPlayerManager) has been registered!
21:2:50 | [PermissionManager] Perm (PlayerManager:GiveGodmode) has been registered!
21:2:50 | [PermissionManager] Perm (PlayerManager:BanPlayer) has been registered!
21:2:50 | [PermissionManager] Perm (PlayerManager:KickPlayer) has been registered!
21:2:50 | [PermissionManager] Perm (PlayerManager:HealPlayers) has been registered!
21:2:50 | [PermissionManager] Perm (PlayerManager:SetPlayerStats) has been registered!
21:2:50 | [PermissionManager] Perm (PlayerManager:KillPlayers) has been registered!
21:2:50 | [PermissionManager] Perm (PlayerManager:GodMode) has been registered!
21:2:50 | [PermissionManager] Perm (PlayerManager:SpectatePlayer) has been registered!
21:2:50 | [PermissionManager] Perm (PlayerManager:TeleportToPlayer) has been registered!
21:2:50 | [PermissionManager] Perm (PlayerManager:TeleportPlayerTo) has been registered!
21:2:50 | [PermissionManager] Perm (PlayerManager:SetPlayerInvisible) has been registered!
21:2:50 | [PermissionManager] Perm (PlayerManager:SendMessage) has been registered!
21:2:50 | [PermissionManager] Perm (PlayerManager:GiveUnlimitedAmmo) has been registered!
21:2:50 | [PermissionManager] Perm (PlayerManager:MakePlayerVomit) has been registered!
21:2:50 | [PermissionManager] Perm (PlayerManager:FreezePlayers) has been registered!
21:2:50 | [PermissionManager] Perm (PlayerManager:ChangeScale) has been registered!
21:2:50 | [PermissionManager] Perm (MenuBansManager) has been registered!
21:2:50 | [PermissionManager] Perm (BansManager:UnbanPlayer) has been registered!
21:2:50 | [PermissionManager] Perm (BansManager:UpdateBanDuration) has been registered!
21:2:50 | [PermissionManager] Perm (BansManager:UpdateBanReason) has been registered!
21:2:50 | [PermissionManager] Perm (MenuWebHooks) has been registered!
21:2:50 | [PermissionManager] Perm (MenuWebHooks:Create) has been registered!
21:2:50 | [PermissionManager] Perm (MenuWebHooks:Edit) has been registered!
21:2:50 | [PermissionManager] Perm (MenuWebHooks:Delete) has been registered!
21:2:50 | [PermissionManager] Perm (MenuTeleportManager) has been registered!
21:2:50 | [PermissionManager] Perm (TeleportManager:ViewPlayerPositions) has been registered!
21:2:50 | [PermissionManager] Perm (TeleportManager:TPPlayers) has been registered!
21:2:50 | [PermissionManager] Perm (TeleportManager:TPSelf) has been registered!
21:2:50 | [PermissionManager] Perm (TeleportManager:DeletePreset) has been registered!
21:2:50 | [PermissionManager] Perm (TeleportManager:AddNewPreset) has been registered!
21:2:50 | [PermissionManager] Perm (TeleportManager:EditPreset) has been registered!
21:2:50 | [PermissionManager] Perm (TeleportManager:TeleportEntity) has been registered!
21:2:50 | [PermissionManager] Perm (EspToolsMenu) has been registered!
21:2:50 | [PermissionManager] Perm (EspToolsMenu:DeleteObjects) has been registered!
21:2:50 | [PermissionManager] Perm (EspToolsMenu:PlayerESP) has been registered!
21:2:50 | [PermissionManager] Perm (EspToolsMenu:RestPasscodeFence) has been registered!
21:2:50 | [PermissionManager] Perm (EspToolsMenu:RetriveCodeFromObj) has been registered!
21:2:50 | [PermissionManager] Perm (EspToolsMenu:PlayerMeshEsp) has been registered!
21:2:50 | [PermissionManager] Perm (EspToolsMenu:InstantBaseBuild) has been registered!
21:2:50 | [PermissionManager] Perm (MenuXMLEditor) has been registered!
21:2:50 | [PermissionManager] Perm (MenuCommandsConsole) has been registered!
21:2:50 | [PermissionManager] Adding Super Admin (76561198119114852)
21:2:50 | [PermissionManager] Loaded UserGroups.json
21:2:50 | [BansManager]:: Load(): Loading ban list Json File $profile:VPPAdminTools/BanList.json
21:2:50 | [PermissionManager] Perm (Chat:StripPlayer) has been registered!
21:2:50 | [PermissionManager] Perm (Chat:KillPlayer) has been registered!
21:2:50 | [PermissionManager] Perm (Chat:HealPlayer) has been registered!
21:2:50 | [PermissionManager] Perm (Chat:BringPlayer) has been registered!
21:2:50 | [PermissionManager] Perm (Chat:ReturnPlayer) has been registered!
21:2:50 | [PermissionManager] Perm (Chat:GotoPlayer) has been registered!
21:2:50 | [PermissionManager] Perm (Chat:UnbanPlayer) has been registered!
21:2:50 | [PermissionManager] Perm (Chat:TeleportToTown) has been registered!
21:2:50 | [PermissionManager] Perm (Chat:TeleportToPoint) has been registered!
21:2:50 | [PermissionManager] Perm (Chat:GiveAmmo) has been registered!
21:2:50 | [PermissionManager] Perm (Chat:SpawnInventory) has been registered!
21:2:50 | [PermissionManager] Perm (Chat:SpawnOnGround) has been registered!
21:2:50 | [PermissionManager] Perm (Chat:SpawnInHands) has been registered!
21:2:50 | [PermissionManager] Perm (Chat:SpawnCar) has been registered!
21:2:50 | [PermissionManager] Perm (Chat:refuelCar) has been registered!
21:2:50 | [WeatherManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/WeatherManager/WeatherSettingsPresets.json
21:2:50 | [TimeManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/TimeManager/TimeSettingsPresets.json
21:2:50 | Building Sets Loaded: 0
21:2:50 | [SteamAPIManager] ERROR No steam API key configured, and or key is invalid.
21:8:6 | Player "Juto" (steamId=76561198119114852) connected to server!
21:8:33 | "76561198119114852" (steamid=76561198119114852) teleported to (pos=<3733.010010, 401.871246, 6010.759766>)
21:8:33 | "Juto": (steamid=76561198119114852) teleported to (pos=3733.01,0,6010.76)
21:9:48 | Player "Survivor" (steamId=76561198028932484) connected to server!
21:10:39 | [WeatherManager] Send Data Count is 0
21:11:20 | [Time Manager] Setting Date to 2026/3/1 8:13
21:12:29 | "Juto" (steamid=76561198119114852) Spawned Item: (BoneKnife)
21:15:17 | "76561198119114852" (steamid=76561198119114852) teleported to (pos=<4506.020020, 2.007410, 2410.939941>)
21:15:17 | "Juto": (steamid=76561198119114852) teleported to (pos=4506.02,0,2410.94)
21:16:22 | "Juto" (steamid=76561198119114852) gave godmode to (steamid=76561198119114852)
21:16:33 | "Juto" (steamid=76561198119114852) healed player (steamid=76561198119114852)
21:16:39 | "Juto" (steamid=76561198119114852) gave godmode to (steamid=76561198119114852)
21:16:41 | "Juto" (steamid=76561198119114852) gave godmode to (steamid=76561198119114852)
21:17:1 | "Juto" (steamid=76561198119114852) gave godmode to (steamid=76561198119114852)
21:17:3 | "Juto" (steamid=76561198119114852) healed player (steamid=76561198119114852)
21:17:43 | "Juto" (steamid=76561198119114852) gave godmode to (steamid=76561198119114852)
21:17:54 | "Juto" (steamid=76561198119114852) just updated a health stat on (steamid=76561198028932484)
21:17:55 | "Juto" (steamid=76561198119114852) just updated a health stat on (steamid=76561198028932484)
21:17:55 | "Juto" (steamid=76561198119114852) just updated a health stat on (steamid=76561198028932484)
21:17:56 | "Juto" (steamid=76561198119114852) just updated a health stat on (steamid=76561198028932484)
21:17:56 | "Juto" (steamid=76561198119114852) just updated a health stat on (steamid=76561198028932484)
21:18:4 | "Juto" (steamid=76561198119114852) gave godmode to (steamid=76561198119114852)
21:18:6 | "Juto" (steamid=76561198119114852) gave godmode to (steamid=76561198119114852)
21:18:8 | "Juto" (steamid=76561198119114852) healed player (steamid=76561198119114852)
